Year,Average annual rate of growth of exports (scored 1-5),Inward FDI flows (% of fixed investment),CO2 emissions: Oil (% change y/y),Average annual GDP growth (scored 1-5)
2000,3,27.51,0.55,2
2001,4,22.53,1.02,2
2002,5,18.15,-2.25,3
2003,5,10.92,-3.68,3
2004,4,15.67,3.72,3
2005,4,10.17,0.65,3
2006,3,10.19,0.96,4
2007,1,17.74,5.11,3
2008,2,15.43,3.9,4
2009,2,9.88,-1.94,4
2010,1,18.17,8.08,3
2011,1,19.02,6.46,3
2012,2,18.14,7.22,3
2013,2,14.55,4.36,1
2014,1,17.98,3.49,1
2015,2,20.17,-6.58,1
2016,2,26.64,-5.73,1
2017,2,22.93,0.79,1
2018,1,27.02,-6.27,1
2019,2,23.87,0.83,1
2020,2,15.66,-4.19,2
2021,2,15.52,9.56,2
2022,2,21.48,1.36,3
2023,2,17.37,2,3
2024,2,19.15,2.14,3
2025,2,18.92,1.38,3